Year,State,District,Rape Cases,Abduction Cases,Murder Cases,Total Crimes,Population,Crime Rate,Arrests,Crime Clearance Rate
2019,Uttarakhand,Haridwar,152,227,75,684,1420464,48.15,535,78.22
2021,Arunachal Pradesh,Pasighat,153,214,43,468,730074,64.1,415,88.68
2022,Punjab,Ludhiana,133,248,51,774,1483510,52.17,672,86.82
2021,Tripura,Kailashahar,71,202,40,653,681813,95.77,620,94.95
2019,Uttar Pradesh,Lucknow,24,198,82,753,955667,78.79,697,92.56
2020,Mizoram,Lunglei,70,155,78,529,627554,84.3,524,99.05
2019,Jharkhand,Ranchi,66,216,5,506,124760,405.58,413,81.62
2018,Bihar,Gaya,106,28,97,368,1759908,20.91,260,70.65
2020,Nagaland,Kohima,169,44,96,618,151525,407.85,368,59.55
2018,Odisha,Rourkela,144,182,69,634,1933642,32.79,621,97.95
2020,Punjab,Jalandhar,49,120,82,641,707731,90.57,480,74.88
2020,Assam,Guwahati,155,103,78,702,255395,274.87,583,83.05
2021,Goa,Vasco da Gama,17,194,29,731,1967033,37.16,626,85.64
2020,Himachal Pradesh,Kangra,22,235,88,414,253754,163.15,388,93.72
2020,Madhya Pradesh,Bhopal,126,160,51,395,1952808,20.23,369,93.42
2018,Goa,Panaji,134,162,7,632,1223722,51.65,561,88.77
2022,Tripura,Udaipur,134,71,20,625,322076,194.05,452,72.32
2018,Jharkhand,Ranchi,146,120,25,543,1647807,32.95,530,97.61
2021,Goa,Margao,67,23,100,479,1609326,29.76,329,68.68
2018,Chhattisgarh,Bilaspur,94,298,6,863,277042,311.51,784,90.85
2021,Puducherry,Mahe,55,69,96,703,1806664,38.91,464,66
2019,Nagaland,Dimapur,78,44,89,456,284449,160.31,419,91.89
2020,Punjab,Amritsar,106,230,85,653,529854,123.24,597,91.42
2020,Punjab,Ludhiana,53,175,48,458,1988750,23.03,267,58.3
2018,Uttar Pradesh,Lucknow,67,53,89,310,1110867,27.91,306,98.71
2019,Meghalaya,Shillong,36,113,40,268,1558397,17.2,212,79.1
2019,Goa,Margao,38,234,36,526,1879184,27.99,415,78.9
2022,West Bengal,Darjeeling,161,165,10,615,1310108,46.94,547,88.94
2022,Punjab,Amritsar,192,263,51,615,539712,113.95,576,93.66
2020,Punjab,Amritsar,84,237,37,471,566772,83.1,293,62.21
2022,Andaman and Nicobar Islands,Car Nicobar,147,294,95,662,1886163,35.1,614,92.75
2020,Goa,Panaji,126,213,7,666,323223,206.05,643,96.55
2019,Jharkhand,Dhanbad,17,138,13,252,1134466,22.21,203,80.56
2020,Sikkim,Gyalshing,45,31,13,166,1226154,13.54,132,79.52
2020,Lakshadweep,Agatti,143,212,13,711,1976070,35.98,476,66.95
2020,Haryana,Faridabad,128,266,85,636,1518068,41.9,547,86.01
2019,Andaman and Nicobar Islands,Port Blair,72,230,23,410,885855,46.28,408,99.51
2021,Manipur,Churachandpur,46,189,72,495,1825963,27.11,480,96.97
2020,Kerala,Kochi,197,182,88,913,336488,271.33,888,27.26
2018,Meghalaya,Shillong,123,112,32,694,885262,78.39,408,58.79
2018,Gujarat,Vadodara,155,127,94,457,742399,61.56,422,92.34
2018,Bihar,Gaya,39,231,6,377,1908152,19.76,199,52.79
2020,Arunachal Pradesh,Pasighat,200,40,27,746,570990,130.65,621,83.24
2020,Kerala,Thiruvananthapuram,165,102,68,773,195637,395.12,537,69.47
2022,Maharashtra,Pune,98,263,83,917,390253,234.98,487,53.11
2019,Puducherry,Puducherry,132,257,97,706,1432282,49.29,532,75.35
2021,Haryana,Panipat,33,266,70,549,1527630,35.94,423,77.05
2021,Uttar Pradesh,Lucknow,16,54,99,580,1905694,30.44,519,89.48
2019,Punjab,Ludhiana,102,190,81,494,532090,92.84,470,95.14
2021,Karnataka,Bengaluru,17,282,94,636,1170458,54.34,376,59.12
2020,Tamil Nadu,Coimbatore,76,252,92,530,815435,65,314,59.25
2022,Mizoram,Lunglei,180,255,59,742,230612,321.75,538,72.51
2020,Karnataka,Bengaluru,178,34,81,443,1397950,31.69,429,96.84
2019,Goa,Panaji,78,65,25,541,1877020,28.82,304,56.19
2020,Odisha,Rourkela,13,163,93,469,273697,171.36,465,99.15
2018,Jammu and Kashmir,Srinagar,196,213,5,572,1736514,32.94,302,52.8
2020,Haryana,Faridabad,180,78,63,607,516011,117.63,506,83.36
2021,Puducherry,Karaikal,199,265,78,836,1714409,48.76,477,57.06
2021,Tamil Nadu,Madurai,142,144,26,807,137161,588.36,702,86.99
2019,Madhya Pradesh,Bhopal,44,82,44,567,103288,548.95,525,92.59
2018,Odisha,Bhubaneswar,22,199,43,569,843916,67.42,496,87.17
2021,Odisha,Rourkela,100,221,11,477,251359,189.77,319,66.88
2018,Jammu and Kashmir,Anantnag,119,91,25,328,739518,44.35,207,63.11
2018,Karnataka,Mysuru,184,92,53,383,1225988,31.24,301,78.59
2022,Chhattisgarh,Raipur,138,222,80,786,1147736,68.48,604,76.84
2018,Tamil Nadu,Coimbatore,93,253,97,704,770167,91.41,371,52.7
2021,Jharkhand,Dhanbad,50,238,68,768,1219652,62.97,532,69.27
2019,Odisha,Rourkela,83,87,45,270,430551,62.71,174,64.44
2022,Himachal Pradesh,Mandi,145,145,60,498,878731,56.67,481,96.59
2019,Odisha,Bhubaneswar,176,284,95,1017,168896,602.15,855,84.07
2020,Telangana,Warangal,113,69,13,574,1112066,51.62,324,56.45
2018,Punjab,Ludhiana,65,186,100,568,351291,161.69,288,50.7
2019,Assam,Dibrugarh,80,171,65,579,1098590,52.7,347,59.93
2018,Sikkim,Gangtok,42,224,48,794,1023907,77.55,641,80.73
2019,Himachal Pradesh,Shimla,21,52,12,268,1119706,23.93,252,94.03
2020,Tamil Nadu,Coimbatore,134,20,90,461,890751,51.75,267,57.92
2019,Andaman and Nicobar Islands,Diglipur,127,147,99,643,400202,160.67,358,55.68
2021,Uttarakhand,Haridwar,30,96,56,560,147190,380.46,515,91.96
2018,Tamil Nadu,Madurai,119,161,94,719,1588771,45.26,525,73.02
2020,Dadra and Nagar Haveli and Daman and Diu,Daman,188,146,47,556,363668,152.89,352,63.31
2018,Telangana,Nizamabad,93,253,13,850,1564245,54.34,772,90.82
2021,Kerala,Kochi,63,98,32,593,1260829,47.03,581,17.98
2020,Andaman and Nicobar Islands,Port Blair,156,280,95,1012,1808920,55.94,580,57.31
2018,Rajasthan,Jodhpur,34,142,26,312,1086989,28.7,256,82.05
2018,Maharashtra,Pune,141,173,91,853,568508,150.04,587,68.82
2019,Uttar Pradesh,Lucknow,85,204,58,573,486409,117.8,315,54.97
2020,Mizoram,Aizawl,133,173,89,491,261906,187.47,428,87.17
2018,Karnataka,Bengaluru,184,41,51,765,163268,468.55,570,74.51
2020,Dadra and Nagar Haveli and Daman and Diu,Silvassa,162,197,18,461,1975971,23.33,406,88.07
2018,Karnataka,Mangaluru,133,249,35,737,651446,113.13,550,74.63
2019,Arunachal Pradesh,Tawang,132,238,10,722,1865147,38.71,561,77.7
2022,Nagaland,Dimapur,118,187,60,863,579606,148.89,857,99.3
2022,Delhi,Central Delhi,22,198,81,778,914913,85.04,750,96.4
2022,Punjab,Amritsar,79,132,91,392,1107163,35.41,197,50.26
2021,Rajasthan,Jaipur,141,279,18,735,1193156,61.6,472,64.22
2019,Uttarakhand,Haridwar,127,246,76,547,227523,240.42,449,82.08
2021,Uttarakhand,Nainital,143,231,26,697,974534,71.52,537,77.04
2019,Assam,Dibrugarh,156,49,19,307,1364873,22.49,276,89.9
2022,Kerala,Kozhikode,37,32,37,234,1907013,12.27,196,83.76
2018,Haryana,Faridabad,52,243,76,600,1034585,57.99,327,54.5
2022,Kerala,Thiruvananthapuram,26,181,45,547,673094,81.27,321,58.68
2019,Arunachal Pradesh,Tawang,106,43,64,304,858368,35.42,251,82.57
2020,Tripura,Udaipur,150,131,56,830,993085,83.58,799,96.27
2022,Ladakh,Leh,169,202,77,588,1732592,33.94,427,72.62
2022,Odisha,Cuttack,113,25,66,376,460653,81.62,251,66.76
2022,Nagaland,Kohima,152,33,53,672,931270,72.16,618,91.96
2019,West Bengal,Darjeeling,130,70,98,713,362419,196.73,710,99.58
2020,Jammu and Kashmir,Jammu,49,36,14,457,1890654,24.17,444,97.16
2022,Maharashtra,Mumbai,54,56,54,499,1548946,32.22,321,64.33
2018,Goa,Vasco da Gama,33,106,77,510,582972,87.48,453,88.82
2020,Dadra and Nagar Haveli and Daman and Diu,Diu,39,287,45,465,277602,167.51,295,63.44
2020,Sikkim,Gyalshing,160,104,73,559,955465,58.51,324,57.96
2022,Sikkim,Gangtok,187,78,68,649,1677633,38.69,563,86.75
2018,Bihar,Patna,129,290,82,879,693480,126.75,520,59.16
2021,Lakshadweep,Kavaratti,174,84,12,517,1428835,36.18,391,75.63
2022,Karnataka,Mysuru,137,234,16,768,780071,98.45,390,50.78
2020,Himachal Pradesh,Shimla,138,197,48,814,1081158,75.29,736,90.42
2019,Tamil Nadu,Chennai,102,245,33,436,838894,51.97,297,68.12
2018,Kerala,Thiruvananthapuram,107,238,98,495,641168,77.2,391,78.99
2022,Nagaland,Mokokchung,18,123,99,675,1064448,63.41,644,95.41
2022,Karnataka,Mysuru,115,164,6,766,1710531,44.78,731,95.43
2022,Madhya Pradesh,Gwalior,44,256,64,643,1673817,38.42,507,78.85
2020,Madhya Pradesh,Indore,75,258,85,845,1941892,43.51,796,94.2
2018,Manipur,Imphal,72,155,93,616,1842866,33.43,353,57.31
2020,Rajasthan,Jaipur,109,262,16,851,1914754,44.44,543,63.81
2022,Mizoram,Champhai,121,290,93,945,1622642,58.24,858,90.79
2019,Goa,Vasco da Gama,186,55,60,611,1561389,39.13,559,91.49
2020,Madhya Pradesh,Indore,18,130,74,415,1538035,26.98,220,53.01
2021,Delhi,Central Delhi,58,255,15,796,803358,99.08,460,57.79
2021,Maharashtra,Pune,159,122,9,419,322981,129.73,408,97.37
2019,Andhra Pradesh,Visakhapatnam,115,123,17,317,1383422,22.91,228,71.92
2021,Himachal Pradesh,Kangra,152,121,74,705,1397013,50.46,542,76.88
2018,Gujarat,Ahmedabad,70,139,42,599,731829,81.85,312,52.09
2021,Tamil Nadu,Chennai,194,48,73,536,454100,118.04,308,57.46
2018,Assam,Guwahati,25,210,66,554,1430008,38.74,322,58.12
2020,Uttarakhand,Dehradun,182,170,49,836,81085,1031.02,705,84.33
2019,Chandigarh,Chandigarh,134,161,83,630,1565906,40.23,358,56.83
2021,Mizoram,Lunglei,162,26,32,537,811869,66.14,401,74.67
2020,Bihar,Gaya,185,228,84,944,1328304,71.07,479,50.74
2020,Jharkhand,Ranchi,68,33,22,315,976145,32.27,168,53.33
2022,Arunachal Pradesh,Itanagar,129,39,69,293,1013158,28.92,248,84.64
2020,Uttarakhand,Dehradun,132,257,40,487,298397,163.21,385,79.06
2020,Jammu and Kashmir,Jammu,158,110,74,401,1670701,24,211,52.62
2019,Kerala,Thiruvananthapuram,195,282,83,829,1930832,42.93,516,62.24
2020,Dadra and Nagar Haveli and Daman and Diu,Silvassa,35,24,44,477,773410,61.67,384,80.5
2020,Manipur,Thoubal,79,163,14,387,1973601,19.61,258,66.67
2022,Nagaland,Dimapur,81,35,57,620,906204,68.42,348,56.13
2021,Jammu and Kashmir,Srinagar,196,114,74,726,569252,127.54,377,51.93
2018,Uttar Pradesh,Lucknow,28,88,81,376,558161,67.36,289,76.86
2020,Maharashtra,Nagpur,89,219,89,851,1281903,66.39,749,88.01
2021,West Bengal,Kolkata,144,294,49,913,472856,193.08,820,89.81
2018,Nagaland,Dimapur,155,262,67,972,1922572,50.56,907,93.31
2021,Kerala,Thiruvananthapuram,33,78,24,554,1834356,30.2,304,54.87
2021,Chandigarh,Chandigarh,162,55,36,349,226378,154.17,203,58.17
2018,Tripura,Udaipur,137,73,80,777,1465807,53.01,463,59.59
2022,Andhra Pradesh,Guntur,182,22,54,358,170108,210.45,223,62.29
2018,Tripura,Kailashahar,103,156,84,399,1844074,21.64,359,89.97
2022,Chandigarh,Chandigarh,20,116,12,339,217788,155.66,170,50.15
2019,Meghalaya,Tura,13,284,86,557,356328,156.32,344,61.76
2018,Sikkim,Gangtok,171,104,50,714,516073,138.35,412,57.7
2020,Uttar Pradesh,Agra,132,76,80,672,1904086,35.29,608,90.48
2021,Rajasthan,Jaipur,96,80,46,706,1240484,56.91,540,76.49
2018,Sikkim,Namchi,125,32,35,530,863707,61.36,409,77.17
2022,Bihar,Muzaffarpur,157,29,89,365,1631234,22.38,334,91.51
2022,Lakshadweep,Agatti,36,49,29,469,625639,74.96,326,69.51
2018,Puducherry,Karaikal,123,126,9,666,736747,90.4,346,51.95
2021,Jharkhand,Ranchi,196,76,35,545,616862,88.35,290,53.21
2018,Chhattisgarh,Durg,92,39,66,583,1402116,41.58,500,85.76
2020,Rajasthan,Jaipur,156,201,98,905,1526917,59.27,736,81.33
2021,Tripura,Kailashahar,113,213,80,700,195719,357.66,481,68.71
2020,Karnataka,Bengaluru,170,69,66,738,1415949,52.12,400,54.2
2019,Jharkhand,Ranchi,56,81,87,457,455701,100.29,356,77.9
2022,Karnataka,Mysuru,34,132,85,376,715628,52.54,314,83.51
2020,Punjab,Jalandhar,66,294,32,892,1883529,47.36,616,69.06
2020,Arunachal Pradesh,Pasighat,161,258,54,794,784794,101.17,743,93.58
2021,Ladakh,Kargil,168,261,63,565,108173,522.31,407,72.04
2022,Uttar Pradesh,Agra,58,201,28,373,57667,646.82,231,61.93
2022,Bihar,Muzaffarpur,90,282,20,823,558872,147.26,747,90.77
2020,Telangana,Hyderabad,65,131,90,785,1430538,54.87,753,95.92
2020,Chandigarh,Chandigarh,55,214,65,643,521408,123.32,409,63.61
2018,Sikkim,Gangtok,145,288,35,677,150504,449.82,393,58.05
2019,West Bengal,Darjeeling,134,191,94,668,149710,446.2,371,55.54
2019,Ladakh,Kargil,126,233,8,640,1890282,33.86,544,85
2022,Manipur,Churachandpur,22,53,67,290,364688,79.52,214,73.79
2022,Delhi,South Delhi,171,154,62,537,374273,143.48,375,69.83
2021,Telangana,Nizamabad,131,165,25,811,281110,288.5,578,71.27
2021,Nagaland,Dimapur,42,172,46,344,1829879,18.8,237,68.9
2018,Assam,Silchar,12,152,88,484,383486,126.21,266,54.96
2022,Telangana,Nizamabad,90,147,95,726,1004870,72.25,632,87.05
2018,Bihar,Muzaffarpur,95,258,9,774,1736440,44.57,702,90.7
2019,Odisha,Rourkela,91,227,93,470,512661,91.68,250,53.19
2021,Himachal Pradesh,Mandi,154,204,86,781,519084,150.46,709,90.78
2018,Uttar Pradesh,Agra,93,103,13,334,340978,97.95,277,82.93
2020,Uttarakhand,Nainital,148,59,7,393,367818,106.85,252,64.12
2018,Rajasthan,Jodhpur,84,228,68,738,516936,142.76,687,93.09
2018,Uttarakhand,Nainital,176,209,17,465,1781769,26.1,402,86.45
2018,Chandigarh,Chandigarh,108,93,7,287,1907779,15.04,152,52.96
2018,Nagaland,Dimapur,59,214,17,489,1908881,25.62,301,61.55
2019,Lakshadweep,Kavaratti,14,293,69,617,774096,79.71,569,92.22
2018,Dadra and Nagar Haveli and Daman and Diu,Daman,139,230,53,833,1667530,49.95,493,59.18
2021,Tripura,Kailashahar,146,228,33,640,1035917,61.78,385,60.16
2019,Uttar Pradesh,Kanpur,46,86,56,644,1677038,38.4,513,79.66
2022,Arunachal Pradesh,Itanagar,120,98,18,410,1740549,23.56,359,87.56
2022,Rajasthan,Udaipur,157,87,21,705,155583,453.13,624,88.51
2021,Dadra and Nagar Haveli and Daman and Diu,Diu,79,48,88,646,556198,116.15,552,85.45
2022,Jharkhand,Dhanbad,29,300,37,600,98261,610.62,317,52.83
2022,Mizoram,Champhai,93,284,99,527,914321,57.64,294,55.79
2022,Tamil Nadu,Madurai,130,107,89,598,1249569,47.86,564,94.31
2019,Madhya Pradesh,Gwalior,61,262,23,577,747153,77.23,507,87.87
2018,Odisha,Bhubaneswar,77,277,83,686,626022,109.58,604,88.05
2018,Chandigarh,Chandigarh,150,154,40,439,1357069,32.35,399,90.89
2022,Uttarakhand,Haridwar,161,229,9,850,1843910,46.1,451,53.06
2019,Punjab,Jalandhar,187,55,29,471,1579537,29.82,400,84.93
2020,Maharashtra,Mumbai,75,152,22,532,1623333,32.77,354,66.54
2020,Dadra and Nagar Haveli and Daman and Diu,Daman,94,22,52,569,651921,87.28,459,80.67
2022,Karnataka,Mysuru,30,34,76,439,615787,71.29,341,77.68
2021,Karnataka,Mysuru,86,99,72,632,102965,613.8,531,84.02
2021,Odisha,Cuttack,19,216,38,773,1567685,49.31,670,86.68
2018,Goa,Margao,115,238,73,600,1887957,31.78,485,80.83
2020,Arunachal Pradesh,Itanagar,56,71,69,530,1460448,36.29,436,82.26
2019,Goa,Margao,144,201,88,847,223591,378.82,818,96.58
2018,Tamil Nadu,Coimbatore,118,83,22,293,1826735,16.04,252,86.01
2018,Arunachal Pradesh,Tawang,55,38,71,360,1293458,27.83,213,59.17
2019,Punjab,Ludhiana,125,170,87,756,1012479,74.67,472,62.43
2022,Punjab,Jalandhar,196,102,19,413,387700,106.53,372,90.07
2020,Gujarat,Surat,121,40,40,316,1683525,18.77,269,85.13
2019,Nagaland,Dimapur,110,124,87,475,798364,59.5,336,70.74
2019,Himachal Pradesh,Kangra,198,180,29,733,170991,428.68,619,84.45
2021,Kerala,Thiruvananthapuram,119,208,49,718,1391032,51.62,374,52.09
2019,Puducherry,Mahe,40,141,70,590,263910,223.56,522,88.47
2020,Karnataka,Mangaluru,76,253,61,472,150785,313.03,243,51.48
2020,Andaman and Nicobar Islands,Port Blair,66,90,20,410,381606,107.44,267,65.12
2021,Karnataka,Mangaluru,130,161,61,497,1424377,34.89,432,86.92
2020,Punjab,Amritsar,96,107,62,580,1472994,39.38,308,53.1
2022,Andaman and Nicobar Islands,Diglipur,117,98,84,645,1636899,39.4,348,53.95
2022,Puducherry,Karaikal,43,244,40,541,1326920,40.77,279,51.57
2022,Gujarat,Vadodara,172,288,82,1016,70493,1441.28,906,89.17
2022,Puducherry,Karaikal,141,92,99,455,640752,71.01,288,63.3
2020,Nagaland,Dimapur,74,180,90,808,877548,92.07,470,58.17
2018,Maharashtra,Nagpur,65,87,71,714,1757818,40.62,558,78.15
2019,Maharashtra,Pune,147,202,39,618,251410,245.81,382,61.81
2018,Haryana,Faridabad,145,131,95,663,804756,82.39,337,50.83
2020,Lakshadweep,Minicoy,189,296,72,952,1039069,91.62,482,50.63
2019,Kerala,Kochi,71,241,97,881,976985,90.18,879,49.77
2020,Delhi,South Delhi,135,140,17,764,1869485,40.87,431,56.41
2022,Bihar,Gaya,197,195,65,901,1680249,53.62,844,93.67
2020,Punjab,Amritsar,10,95,18,220,1853314,11.87,211,95.91
2018,Uttar Pradesh,Agra,24,297,90,627,386898,162.06,476,75.92
2018,Karnataka,Mangaluru,159,117,80,789,1712459,46.07,576,73
2022,Chhattisgarh,Raipur,106,105,100,406,509205,79.73,217,53.45
2019,Assam,Silchar,108,46,67,488,1500016,32.53,361,73.98
2019,Manipur,Imphal,151,198,79,517,559773,92.36,480,92.84
2021,Rajasthan,Udaipur,41,97,53,484,237703,203.62,361,74.59
2020,Gujarat,Ahmedabad,41,20,23,551,668054,82.48,505,91.65
2019,Madhya Pradesh,Indore,69,77,88,507,1462204,34.67,474,93.49
2022,Meghalaya,Shillong,43,126,30,698,1360917,51.29,585,83.81
2018,Andaman and Nicobar Islands,Diglipur,153,257,100,1003,1161060,86.39,905,90.23
2021,Mizoram,Champhai,199,113,92,723,1042755,69.34,401,55.46
2019,Gujarat,Ahmedabad,25,261,8,607,77443,783.8,587,96.71
2019,Jammu and Kashmir,Anantnag,105,112,93,725,1541734,47.02,411,56.69
2020,Odisha,Rourkela,150,119,58,487,662976,73.46,344,70.64
2019,Jammu and Kashmir,Srinagar,198,62,37,405,1752511,23.11,238,58.77
2022,Delhi,New Delhi,40,39,13,348,1978706,17.59,278,79.89
2018,Bihar,Muzaffarpur,82,201,96,846,274741,307.93,682,80.61
2020,Punjab,Amritsar,187,243,73,682,128941,528.92,558,81.82
2021,Maharashtra,Nagpur,134,61,14,405,1222734,33.12,302,74.57
2020,Meghalaya,Tura,186,294,75,841,644381,130.51,724,86.09
2019,Lakshadweep,Agatti,50,182,73,378,812515,46.52,335,88.62
2018,Jharkhand,Jamshedpur,69,220,11,456,1459119,31.25,344,75.44
2019,Gujarat,Ahmedabad,110,237,20,423,494251,85.58,246,58.16
2021,Gujarat,Ahmedabad,98,123,55,677,931092,72.71,451,66.62
2019,Maharashtra,Nagpur,148,190,13,832,382767,217.36,500,60.1
2022,Manipur,Churachandpur,76,61,68,595,1958249,30.38,541,90.92
2022,Bihar,Gaya,113,141,26,342,397651,86.01,230,67.25
2018,Assam,Dibrugarh,52,132,5,451,343084,131.45,376,83.37
2021,Rajasthan,Udaipur,15,216,70,581,1110593,52.31,298,51.29
2021,Mizoram,Lunglei,83,73,35,441,1802015,24.47,399,90.48
2019,Maharashtra,Nagpur,48,52,70,570,1607810,35.45,383,67.19
2019,Rajasthan,Jodhpur,71,213,98,719,294504,244.14,520,72.32
2022,Bihar,Gaya,180,36,90,559,707651,78.99,507,90.7
2018,Punjab,Ludhiana,121,245,43,765,256553,298.18,500,65.36
2022,Andhra Pradesh,Guntur,41,72,81,670,628700,106.57,512,76.42
2019,Chandigarh,Chandigarh,199,275,34,573,227333,252.05,323,56.37
2020,Haryana,Gurugram,53,120,76,584,1388920,42.05,379,64.9
2021,Delhi,Central Delhi,176,116,85,540,1640430,32.92,442,81.85
2019,Nagaland,Kohima,114,54,24,254,351621,72.24,211,83.07
2022,Tamil Nadu,Chennai,15,159,82,443,1795436,24.67,301,67.95
2022,Chhattisgarh,Bilaspur,10,186,94,786,1040659,75.53,695,88.42
2021,Punjab,Ludhiana,54,105,99,577,348936,165.36,404,70.02
2019,Andhra Pradesh,Guntur,119,181,66,529,527668,100.25,420,79.4
2018,Bihar,Gaya,146,201,15,530,601274,88.15,331,62.45
2019,Ladakh,Leh,164,25,10,486,1192447,40.76,420,86.42
2021,Bihar,Muzaffarpur,116,48,84,666,1414014,47.1,466,69.97
2018,Dadra and Nagar Haveli and Daman and Diu,Silvassa,168,209,78,759,218111,347.99,576,75.89
2021,Rajasthan,Jaipur,98,176,99,824,279353,294.97,686,83.25
2021,Madhya Pradesh,Gwalior,94,204,93,583,156470,372.6,378,64.84
2020,Arunachal Pradesh,Tawang,129,76,96,387,380188,101.79,378,97.67
2021,Chhattisgarh,Raipur,157,88,37,614,161087,381.16,310,50.49
2020,Meghalaya,Tura,106,44,13,340,746542,45.54,279,82.06
2019,Tripura,Kailashahar,91,51,75,534,1518032,35.18,267,50
2022,Maharashtra,Pune,176,53,17,557,215078,258.98,510,91.56
2022,Bihar,Muzaffarpur,60,129,79,358,619076,57.83,202,56.42
2022,Meghalaya,Jowai,31,152,76,721,620687,116.16,721,100
2021,Gujarat,Ahmedabad,46,156,93,479,1706045,28.08,426,88.94
2018,Tripura,Kailashahar,64,290,76,795,1102075,72.14,575,72.33
2018,Himachal Pradesh,Shimla,157,41,26,539,510493,105.58,533,98.89
2022,Jammu and Kashmir,Srinagar,22,293,17,791,1317791,60.02,789,99.75
2021,Himachal Pradesh,Mandi,179,259,23,819,1628507,50.29,778,94.99
2021,Chhattisgarh,Raipur,167,240,21,602,1128286,53.36,392,65.12
2020,Jammu and Kashmir,Jammu,92,277,90,617,177824,346.97,372,60.29
2022,Punjab,Amritsar,66,266,35,757,896884,84.4,538,71.07
2020,Madhya Pradesh,Gwalior,146,234,36,893,1271975,70.21,617,69.09
2022,Manipur,Thoubal,170,199,24,801,305484,262.21,472,58.93
2021,Andaman and Nicobar Islands,Car Nicobar,54,176,14,481,1502276,32.02,278,57.8
2019,Bihar,Patna,74,87,53,456,218124,209.06,433,94.96
2021,Himachal Pradesh,Kangra,85,83,5,477,361358,132,310,64.99
2022,Andhra Pradesh,Vijayawada,58,169,5,699,1536887,45.48,370,52.93
2020,Karnataka,Mangaluru,122,23,38,521,1857404,28.05,342,65.64
2022,Lakshadweep,Agatti,18,109,93,281,1458690,19.26,250,88.97
2021,Telangana,Nizamabad,87,266,67,513,644346,79.62,415,80.9
2018,Arunachal Pradesh,Pasighat,20,187,74,635,862381,73.63,586,92.28
2019,Punjab,Ludhiana,179,218,6,711,539817,131.71,561,78.9
2021,Rajasthan,Jaipur,129,266,19,538,854646,62.95,324,60.22
2022,Sikkim,Gyalshing,117,146,94,599,319134,187.7,411,68.61
2021,Andaman and Nicobar Islands,Port Blair,161,222,98,656,1542068,42.54,467,71.19
2018,Tripura,Agartala,147,56,19,518,567709,91.24,472,91.12
2020,Andhra Pradesh,Visakhapatnam,109,75,34,380,1098988,34.58,249,65.53
2020,Nagaland,Dimapur,66,133,50,384,324300,118.41,354,92.19
2020,Madhya Pradesh,Indore,18,127,54,341,294868,115.64,255,74.78
2020,Lakshadweep,Agatti,51,73,67,660,1763574,37.42,475,71.97
2019,Dadra and Nagar Haveli and Daman and Diu,Silvassa,77,253,5,441,1675482,26.32,231,52.38
2022,Odisha,Cuttack,106,257,51,767,212115,361.6,402,52.41
2019,Bihar,Muzaffarpur,103,179,61,448,772454,58,271,60.49
2022,Goa,Panaji,65,31,41,552,1809277,30.51,332,60.14
2019,Kerala,Kozhikode,143,204,60,674,1744344,38.64,611,70.65
2022,Mizoram,Champhai,108,76,25,559,636719,87.79,521,93.2
2020,Tripura,Kailashahar,115,88,93,602,272133,221.22,519,86.21
2018,Haryana,Faridabad,80,21,27,584,300928,194.07,334,57.19
2019,Andhra Pradesh,Visakhapatnam,178,299,83,775,1040368,74.49,577,74.45
2021,Ladakh,Leh,73,52,86,285,871711,32.69,239,83.86
2021,Haryana,Faridabad,165,235,38,730,1081308,67.51,577,79.04
2020,Uttarakhand,Dehradun,83,48,11,572,641051,89.23,548,95.8
2020,Meghalaya,Shillong,185,186,8,827,1616636,51.16,607,73.4
2020,Tripura,Udaipur,50,217,96,862,1707914,50.47,661,76.68
2022,Meghalaya,Tura,38,187,19,432,1643138,26.29,337,78.01
2019,Bihar,Gaya,95,52,17,487,796639,61.13,469,96.3
2022,Jammu and Kashmir,Srinagar,145,66,37,659,1209867,54.47,366,55.54
2019,Uttarakhand,Haridwar,99,295,20,524,1259773,41.59,490,93.51
2021,Goa,Panaji,109,202,26,487,1065031,45.73,350,71.87
2018,Maharashtra,Pune,174,144,45,570,627477,90.84,401,70.35
2021,Maharashtra,Mumbai,44,204,57,724,922385,78.49,513,70.86
2018,Goa,Panaji,176,283,44,707,437965,161.43,562,79.49
2019,Maharashtra,Mumbai,20,180,28,528,1342625,39.33,492,93.18
2018,Sikkim,Gyalshing,171,49,78,571,1052395,54.26,432,75.66
2019,Tamil Nadu,Chennai,48,250,37,774,1257072,61.57,534,68.99
2019,Uttarakhand,Nainital,182,248,92,900,1118816,80.44,506,56.22
2022,Assam,Silchar,175,53,96,754,634693,118.8,433,57.43
2022,Punjab,Amritsar,96,236,50,463,1192981,38.81,360,77.75
2020,Rajasthan,Jaipur,157,120,15,515,1059554,48.61,257,49.9
2019,Jharkhand,Dhanbad,160,99,77,752,305004,246.55,643,85.51
2022,Andaman and Nicobar Islands,Car Nicobar,52,66,67,566,1078058,52.5,431,76.15
2020,Kerala,Kozhikode,163,149,12,470,515794,91.12,391,83.19
2018,Tripura,Kailashahar,190,77,70,790,811152,97.39,674,85.32
2021,West Bengal,Siliguri,70,75,35,252,642721,39.21,136,53.97
2019,Telangana,Hyderabad,75,145,27,658,1529306,43.03,492,74.77
2021,Rajasthan,Jodhpur,96,47,46,240,1812353,13.24,134,55.83
2020,Jammu and Kashmir,Srinagar,64,116,81,443,510424,86.79,262,59.14
2021,Tamil Nadu,Chennai,145,62,90,744,1731936,42.96,667,89.65
